Scheme Name	Asset Value
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.0364
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7699
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1294.586
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1267.0484
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1135.5284
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1294.5342
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1140.1403
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1159.9426
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1120.1032
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1109.2787
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1224.5163
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.0266
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1135.3695
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1103.4153
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.1418
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.1628
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.2376
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.7563
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.471
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.5511
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.904
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.666
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.6045
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2529
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.0081
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.8697
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	114.9979
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.1015
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7096
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9499
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0309
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.7533
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.3246
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.0956
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3853
Axis Corporate Bond Fund - Direct Plan Growth	18.0678
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2826
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.1988
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2765
Axis Corporate Bond Fund - Regular Plan Growth	17.0832
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.4990
BANDHAN Corporate Bond Fund - Direct Growth	19.7839
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.7882
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.4197
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.1253
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.8276
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.4875
BANDHAN Corporate Bond Fund - Regular Growth	19.2199
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.1698
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6733
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	12.9568
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.8622
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.4582
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31.8316
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.5347
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5969
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.6934
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.1728
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6955
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.8022
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.3840
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.5022
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5747
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.6175
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.2774
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.7155
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.7424
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.8940
DSP Corporate Bond Fund - Direct - Growth	16.1684
DSP Corporate Bond Fund - Direct - IDCW	11.4335
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6392
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.4808
DSP Corporate Bond Fund - Regular - Growth	15.8962
DSP Corporate Bond Fund - Regular - IDCW	11.4077
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.6150
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.8248
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	107.5834
Franklin India Corporate Debt Fund - Growth	99.4118
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.9707
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.0427
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.1004
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.4251
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.9400
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.8281
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.5047
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.2549
HDFC Corporate Bond Fund - Growth Option	32.6045
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.3071
HDFC Corporate Bond Fund - IDCW Option	19.7378
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.4082
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6513
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5346
HSBC Corporate Bond Fund - Direct Annual IDCW	11.9558
HSBC Corporate Bond Fund - Direct Growth	77.7246
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.602
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3035
HSBC Corporate Bond Fund - Regular Annual IDCW	11.7033
HSBC Corporate Bond Fund - Regular Growth	72.9933
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1956
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.9809
HSBC Corporate Bond Fund -Regular Plan - Bonus	27.7269
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.1820
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2964
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.5314
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	29.7766
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4509
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2318
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1965.9266
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1255.9205
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3410.723
Invesco India Corporate Bond Fund - Direct Plan - Growth	3409.6493
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1265.7032
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1381.7708
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3343.4387
Invesco India Corporate Bond Fund - Growth	3183.1925
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1824.5
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1187.6577
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3939.5516
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1077.8934
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3774.5099
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1229.5893
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.0251
Mirae Asset Corporate Bond Fund Direct IDCW	13.0222
Mirae Asset Corporate Bond Fund Regular Growth	12.7864
Mirae Asset Corporate Bond Fund Regular IDCW	12.7864
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	19.9680
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.8533
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.4937
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0959
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	44.9902
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	63.0157
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	42.9070
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	60.0776
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.2472
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.7219
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.3306
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.0959
